character,unique words
Tron Guy,79
Evil Stan,79
Jefferson,79
Phyllis,79
Mr. Bell,79
Robert Smith,78
Sky-fi Reporter,78
Librarian,78
Jimmy Buffett,78
Boy 3,78
Candice,78
Prime Minister,78
Aunt Jemima,78
Ginger Boy,78
Expert 2,78
Uncle Jimbo,78
Fuhrman,78
Trainer 1,77
Maitre D,77
Mormon 2,77
Kitty,77
Hyde,77
Demonius,77
Bailey,76
Teen 1,76
Hippie,76
Walsky,76
Mormon 1,76
Female Reporter,76
Evil Kyle,76
Falsetto,76
Old Monk,76
Police Captain,76
Gordon Stoltski,76
Her crotch,75
Girlfriend,75
Martin,75
Kid 2,75
Spirit,75
Chef's mom,75
Mrs. Feegan,75
Guard 3,75
Hell Director,75
AARP leader,75
Shopper 2,74
Teen Boy,74
Chief Stevens,74
Mr. Allens,74
Mr. Hollis,74
Male CPS Agent,74
Michael Bay,74
Munky,74
Matt Lauer,73
Usher,73
al-Zawahri,73
Rep,73
Geoff,73
Member 2,73
Greeter,73
Mr. Farkle,73
Mousey,73
Lady 1,73
Wise Man,73
Kip's Dad,73
Tom Nelson,73
Burns,72
Gino,72
Woman With Brown Hair,72
Front Desk Officer,72
Michael Jackson,72
Grey Hat,72
Mrs. Donovan,72
Patron 2,72
Gacy,71
Christina Naylon,71
Riley,71
Mortician,71
House,71
Indian Chief,71
Deery,71
Doorman,70
Mitt,70
Man 12,70
Quint 1,70
Girl 2,70
DogPoo,70
CD,70
Exec. 1,70
Dude,70
Woodland Critters,70
George Bailey,70
Host 2,70
Cartman Smurf,70
Rabbity,70
Everybody,70
Mr. Pratt,70
Otter Leader,69
Agent 6,69
Head of Public Safety,69
Lion Cub 3,69
Daughter,69
Butters and the Freaks,69
Webber,69
Tech 4,69
Farmer Friend 2,69
Mr. Tenorman,68
British Cardinal,68
Don King,68
Elder Harris,68
Emmanuel Lewis,68
Al-Zawahri,68
Pops,68
Cajun Shrimper,67
Conner,67
Rabbi 2,67
Matthew McConaughey,67
Annoncer,67
Treasurer 1,67
Frothgar,67
Elderly Priest,67
Ms. Sanders,67
Police Officer,67
Boy 4,67
Kathie Lee,67
Adults,67
Superman,67
Carl,67
Carter,67
Davis,67
Tony Kornheiser,67
Horace,67
Raccoony,67
Korashki,67
Soldier 1,67
Singers (Widelife),66
Another Mayor,66
Princess,66
Al,66
Bob Summers,66
Mel Gibson,66
Ellen DeGeneres,66
French Canadians,66
Female singer,66
Oprah Winfrey,66
Aunt Nellie,66
Shopper 4,65
U.N. Leader,65
